Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
2003-2004,All,2-19,Mexican American,Dietary Fiber,15.7,0.5,16.7,14.7,,,,
2003-2004,All,2-5,All,Dietary Fiber,10.8,0.3,10.2,11.5,,,,
2003-2004,All,6-11,All,Dietary Fiber,13.1,0.4,12.3,13.9,,,,
2003-2004,All,12-19,All,Dietary Fiber,13.7,0.4,12.9,14.4,,,,
2003-2004,All,20 and over,All,Dietary Fiber,15.5,0.4,16.3,14.8,,,,
2003-2004,All,20 and over,Non-Hispanic White,Dietary Fiber,15.7,0.4,16.5,14.9,,,,
2003-2004,All,20 and over,Non-Hispanic Black,Dietary Fiber,12.3,0.5,13.2,11.4,,,,
2003-2004,All,20 and over,Non-Hispanic Asian,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Hispanic,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Mexican American,Dietary Fiber,19.2,0.6,20.4,17.9,,,,
2003-2004,All,20-29,All,Dietary Fiber,15.8,0.7,14.4,17.2,,,,
2003-2004,All,30-39,All,Dietary Fiber,15.9,0.7,14.6,17.2,,,,
2003-2004,All,40-49,All,Dietary Fiber,15.6,0.4,14.7,16.4,,,,
2003-2004,All,50-59,All,Dietary Fiber,15.6,0.6,14.4,16.8,,,,
2003-2004,All,60-69,All,Dietary Fiber,15.0,0.4,14.2,15.9,,,,
2003-2004,All,70 and over,All,Dietary Fiber,14.9,0.3,14.3,15.6,,,,
2003-2004,Female,2-19,All,Dietary Fiber,12.3,0.4,13.0,11.5,,,,
2003-2004,Female,2-5,All,Dietary Fiber,11.0,0.4,10.2,11.8,,,,
2003-2004,Female,6-11,All,Dietary Fiber,12.5,0.6,11.3,13.7,,,,
2003-2004,Female,12-19,All,Dietary Fiber,12.3,0.4,11.5,13.0,,,,
2003-2004,Female,20 and over,All,Dietary Fiber,13.7,0.4,14.5,12.9,,,,
2003-2004,Female,20-29,All,Dietary Fiber,13.8,0.8,12.2,15.4,,,,
2003-2004,Female,30-39,All,Dietary Fiber,13.8,0.5,12.8,14.8,,,,
2003-2004,Female,40-49,All,Dietary Fiber,13.2,0.6,12.1,14.3,,,,
2003-2004,Female,50-59,All,Dietary Fiber,13.6,0.8,12.1,15.2,,,,
2003-2004,Female,60-69,All,Dietary Fiber,14.0,0.6,12.9,15.1,,,,
2003-2004,Female,70 and over,All,Dietary Fiber,14.1,0.5,13.2,15.1,,,,
2003-2004,Male,2-19,All,Dietary Fiber,13.6,0.4,12.9,14.4,,,,
2003-2004,Male,2-5,All,Dietary Fiber,10.6,0.6,9.6,11.7,,,,
2003-2004,Male,6-11,All,Dietary Fiber,13.8,0.6,12.6,15.0,,,,
2003-2004,Male,12-19,All,Dietary Fiber,15.0,0.5,14.0,16.0,,,,
2003-2004,Male,20 and over,All,Dietary Fiber,17.5,0.3,18.2,16.8,,,,
2003-2004,Male,20-29,All,Dietary Fiber,17.7,0.9,15.9,19.6,,,,
2003-2004,Male,30-39,All,Dietary Fiber,18.3,1.0,16.4,20.2,,,,
2003-2004,Male,40-49,All,Dietary Fiber,18.0,0.7,16.7,19.4,,,,
2003-2004,Male,50-59,All,Dietary Fiber,17.5,0.7,16.2,18.9,,,,
2003-2004,Male,60-69,All,Dietary Fiber,16.2,0.7,14.8,17.6,,,,
2003-2004,Male,70 and over,All,Dietary Fiber,16.0,0.5,14.9,17.0,,,,
2003-2004,All,2-19,All,Iron,16.5,0.5,17.4,15.7,,,,
2003-2004,All,2-19,Non-Hispanic White,Iron,16.8,0.6,18.1,15.6,,,,
2003-2004,All,2-19,Non-Hispanic Black,Iron,15.6,0.7,17.0,14.1,,,,
2003-2004,All,2-19,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,2-19,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,2-19,Mexican American,Iron,16.6,0.4,17.5,15.8,,,,
2003-2004,All,2-5,All,Iron,12.6,0.3,12.1,13.1,,,,
2003-2004,All,6-11,All,Iron,15.6,0.5,14.6,16.6,,,,
2003-2004,All,12-19,All,Iron,16.5,0.5,15.7,17.4,,,,
2003-2004,All,20 and over,All,Iron,15.8,0.2,16.1,15.4,,,,
2003-2004,All,20 and over,Non-Hispanic White,Iron,16.0,0.3,16.6,15.5,,,,
2003-2004,All,20 and over,Non-Hispanic Black,Iron,13.8,0.5,14.9,12.7,,,,
2003-2004,All,20 and over,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Mexican American,Iron,16.9,0.5,18.0,15.9,,,,
2003-2004,All,20-29,All,Iron,17.0,0.5,15.9,18.0,,,,
2003-2004,All,30-39,All,Iron,16.8,0.5,15.8,17.8,,,,
2003-2004,All,40-49,All,Iron,15.7,0.4,14.9,16.6,,,,
2003-2004,All,50-59,All,Iron,15.3,0.5,14.3,16.3,,,,
2003-2004,All,60-69,All,Iron,14.5,0.5,13.6,15.4,,,,
2003-2004,All,70 and over,All,Iron,14.2,0.3,13.6,14.8,,,,
2003-2004,Female,2-19,All,Iron,14.1,0.5,14.9,13.2,,,,
2003-2004,Female,2-5,All,Iron,13.0,0.5,12.1,13.9,,,,
2003-2004,Female,6-11,All,Iron,13.9,0.7,12.6,15.2,,,,
2003-2004,Female,12-19,All,Iron,14.1,0.5,13.2,14.9,,,,
2003-2004,Female,20 and over,All,Iron,13.3,0.3,13.8,12.8,,,,
2003-2004,Female,20-29,All,Iron,13.8,0.6,12.7,14.9,,,,
2003-2004,Female,30-39,All,Iron,14.0,0.6,12.8,15.2,,,,
2003-2004,Female,40-49,All,Iron,13.1,0.5,12.1,14.0,,,,
2003-2004,Female,50-59,All,Iron,12.6,0.5,11.6,13.7,,,,
2003-2004,Female,60-69,All,Iron,13.1,0.6,11.9,14.3,,,,
2003-2004,Female,70 and over,All,Iron,13.0,0.4,12.2,13.8,,,,
2003-2004,Male,2-19,All,Iron,18.9,0.5,19.9,17.8,,,,
2003-2004,Male,2-5,All,Iron,12.2,0.2,11.8,12.7,,,,
2003-2004,Male,6-11,All,Iron,17.2,0.6,16.0,18.5,,,,
2003-2004,Male,12-19,All,Iron,18.9,0.5,17.8,19.9,,,,
2003-2004,Male,20 and over,All,Iron,18.4,0.2,18.8,18.0,,,,
2003-2004,Male,20-29,All,Iron,20.0,0.7,18.7,21.3,,,,
2003-2004,Male,30-39,All,Iron,19.9,0.7,18.4,21.3,,,,
2003-2004,Male,40-49,All,Iron,18.5,0.6,17.2,19.7,,,,
2003-2004,Male,50-59,All,Iron,18.0,0.7,16.7,19.3,,,,
2003-2004,Male,60-69,All,Iron,16.0,0.6,14.9,17.1,,,,
2003-2004,Male,70 and over,All,Iron,15.8,0.4,15.0,16.6,,,,
2003-2004,All,2-19,All,Potassium,2330.8,49.9,2429.5,2232.2,,,,
2003-2004,All,2-19,Non-Hispanic White,Potassium,2447.2,96.7,2638.3,2256.1,,,,
2003-2004,All,2-19,Non-Hispanic Black,Potassium,2261.4,80.3,2420.0,2102.9,,,,
2003-2004,All,2-19,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,2-19,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,2-19,Mexican American,Potassium,2494.8,94.7,2681.8,2307.8,,,,
2003-2004,All,2-5,All,Potassium,2211.7,62.8,2087.6,2335.8,,,,
2003-2004,All,6-11,All,Potassium,2272.2,65.5,2142.8,2401.5,,,,
2003-2004,All,12-19,All,Potassium,2428.5,68.4,2293.5,2563.6,,,,
2003-2004,All,20 and over,All,Potassium,2724.3,34.8,2793.0,2655.6,,,,
2003-2004,All,20 and over,Non-Hispanic White,Potassium,2804.3,44.0,2891.3,2717.4,,,,
2003-2004,All,20 and over,Non-Hispanic Black,Potassium,2226.0,67.6,2359.5,2092.4,,,,
2003-2004,All,20 and over,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Mexican American,Potassium,2856.3,80.8,3015.9,2696.7,,,,
2003-2004,All,20-29,All,Potassium,2724.8,72.6,2581.3,2868.3,,,,
2003-2004,All,30-39,All,Potassium,2830.2,66.8,2698.3,2962.1,,,,
2003-2004,All,40-49,All,Potassium,2828.2,69.1,2691.7,2964.7,,,,
2003-2004,All,50-59,All,Potassium,2724.6,88.1,2550.7,2898.6,,,,
2003-2004,All,60-69,All,Potassium,2622.9,67.2,2490.1,2755.7,,,,
2003-2004,All,70 and over,All,Potassium,2486.5,45.8,2395.9,2577.0,,,,
2003-2004,Female,2-19,All,Potassium,2140.6,48.2,2235.9,2045.4,,,,
2003-2004,Female,2-5,All,Potassium,2240.2,91.4,2059.6,2420.8,,,,
2003-2004,Female,6-11,All,Potassium,2147.9,103.5,1943.5,2352.4,,,,
2003-2004,Female,12-19,All,Potassium,2088.3,42.0,2005.4,2171.3,,,,
2003-2004,Female,20 and over,All,Potassium,2356.8,40.1,2436.1,2277.5,,,,
2003-2004,Female,20-29,All,Potassium,2330.2,98.2,2136.2,2524.2,,,,
2003-2004,Female,30-39,All,Potassium,2413.6,68.2,2278.8,2548.3,,,,
2003-2004,Female,40-49,All,Potassium,2384.9,68.7,2249.2,2520.6,,,,
2003-2004,Female,50-59,All,Potassium,2294.6,102.2,2092.8,2496.4,,,,
2003-2004,Female,60-69,All,Potassium,2371.5,76.8,2219.9,2523.1,,,,
2003-2004,Female,70 and over,All,Potassium,2335.9,39.0,2258.9,2412.9,,,,
2003-2004,Male,2-19,All,Potassium,2509.2,68.6,2644.8,2373.6,,,,
2003-2004,Male,2-5,All,Potassium,2184.3,75.8,2034.5,2334.1,,,,
2003-2004,Male,6-11,All,Potassium,2388.1,81.9,2226.3,2549.9,,,,
2003-2004,Male,12-19,All,Potassium,2745.2,104.1,2539.6,2950.8,,,,
2003-2004,Male,20 and over,All,Potassium,3121.5,41.2,3202.9,3040.1,,,,
2003-2004,Male,20-29,All,Potassium,3101.6,82.4,2938.9,3264.3,,,,
2003-2004,Male,30-39,All,Potassium,3294.8,136.8,3024.6,3565.1,,,,
2003-2004,Male,40-49,All,Potassium,3290.3,108.4,3076.1,3504.5,,,,
2003-2004,Male,50-59,All,Potassium,3165.3,91.7,2984.2,3346.3,,,,
2003-2004,Male,60-69,All,Potassium,2910.6,87.2,2738.3,3082.9,,,,
2003-2004,Male,70 and over,All,Potassium,2691.5,88.1,2517.5,2865.5,,,,
2003-2004,All,2-19,All,Saturated Fat,29.8,0.7,28.5,31.1,,,,
2003-2004,All,2-19,Non-Hispanic White,Saturated Fat,30.5,1.0,28.5,32.5,,,,
2003-2004,All,2-19,Non-Hispanic Black,Saturated Fat,28.9,0.8,27.3,30.5,,,,
2003-2004,All,2-19,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,2-19,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,2-19,Mexican American,Saturated Fat,28.6,1.1,26.4,30.9,,,,
2003-2004,All,2-5,All,Saturated Fat,23.1,0.8,21.6,24.6,,,,
2003-2004,All,6-11,All,Saturated Fat,27.6,0.9,25.9,29.3,,,,
2003-2004,All,12-19,All,Saturated Fat,29.8,0.7,28.5,31.1,,,,
2003-2004,All,20 and over,All,Saturated Fat,27.7,0.3,27.0,28.3,,,,
2003-2004,All,20 and over,Non-Hispanic White,Saturated Fat,28.4,0.4,27.7,29.2,,,,
2003-2004,All,20 and over,Non-Hispanic Black,Saturated Fat,25.9,0.8,24.3,27.6,,,,
2003-2004,All,20 and over,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Mexican American,Saturated Fat,28.2,1.1,26.1,30.4,,,,
2003-2004,All,20-29,All,Saturated Fat,31.3,1.0,29.3,33.3,,,,
2003-2004,All,30-39,All,Saturated Fat,29.6,0.8,28.1,31.2,,,,
2003-2004,All,40-49,All,Saturated Fat,29.9,0.9,28.1,31.7,,,,
2003-2004,All,50-59,All,Saturated Fat,26.5,0.9,24.7,28.4,,,,
2003-2004,All,60-69,All,Saturated Fat,23.5,0.7,22.1,24.9,,,,
2003-2004,All,70 and over,All,Saturated Fat,20.7,0.5,19.8,21.7,,,,
2003-2004,Female,2-19,All,Saturated Fat,25.6,0.6,24.5,26.8,,,,
2003-2004,Female,2-5,All,Saturated Fat,23.9,1.0,22.0,25.9,,,,
2003-2004,Female,6-11,All,Saturated Fat,25.7,0.9,23.8,27.5,,,,
2003-2004,Female,12-19,All,Saturated Fat,25.6,0.6,24.5,26.8,,,,
2003-2004,Female,20 and over,All,Saturated Fat,23.3,0.3,22.7,24.0,,,,
2003-2004,Female,20-29,All,Saturated Fat,25.5,1.3,23.0,28.1,,,,
2003-2004,Female,30-39,All,Saturated Fat,25.7,0.9,24.0,27.4,,,,
2003-2004,Female,40-49,All,Saturated Fat,24.5,1.0,22.6,26.3,,,,
2003-2004,Female,50-59,All,Saturated Fat,22.6,1.4,19.9,25.3,,,,
2003-2004,Female,60-69,All,Saturated Fat,20.6,0.8,19.0,22.2,,,,
2003-2004,Female,70 and over,All,Saturated Fat,18.7,0.7,17.4,20.0,,,,
2003-2004,Male,2-19,All,Saturated Fat,33.7,1.1,31.5,35.9,,,,
2003-2004,Male,2-5,All,Saturated Fat,22.3,0.8,20.7,23.9,,,,
2003-2004,Male,6-11,All,Saturated Fat,29.4,1.0,27.4,31.4,,,,
2003-2004,Male,12-19,All,Saturated Fat,33.7,1.1,31.5,35.9,,,,
2003-2004,Male,20 and over,All,Saturated Fat,32.3,0.5,31.4,33.2,,,,
2003-2004,Male,20-29,All,Saturated Fat,36.9,1.4,34.0,39.7,,,,
2003-2004,Male,30-39,All,Saturated Fat,34.0,1.3,31.4,36.6,,,,
2003-2004,Male,40-49,All,Saturated Fat,35.6,1.0,33.7,37.5,,,,
2003-2004,Male,50-59,All,Saturated Fat,30.6,1.1,28.4,32.7,,,,
2003-2004,Male,60-69,All,Saturated Fat,26.9,1.0,25.0,28.7,,,,
2003-2004,Male,70 and over,All,Saturated Fat,23.5,0.8,21.9,25.0,,,,
2003-2004,All,2-19,All,Sodium,3558.3,95.2,3370.2,3746.4,,,,
2003-2004,All,2-19,Non-Hispanic White,Sodium,3606.8,124.7,3360.6,3853.1,,,,
2003-2004,All,2-19,Non-Hispanic Black,Sodium,3477.9,120.1,3240.6,3715.1,,,,
2003-2004,All,2-19,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,2-19,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,2-19,Mexican American,Sodium,3477.0,126.4,3227.3,3726.6,,,,
2003-2004,All,2-5,All,Sodium,2517.6,46.0,2426.7,2608.5,,,,
2003-2004,All,6-11,All,Sodium,3170.1,67.6,3036.7,3303.6,,,,
2003-2004,All,12-19,All,Sodium,3558.3,95.2,3370.2,3746.4,,,,
2003-2004,All,20 and over,All,Sodium,3477.6,33.1,3412.3,3543.0,,,,
2003-2004,All,20 and over,Non-Hispanic White,Sodium,3529.6,41.8,3447.0,3612.3,,,,
2003-2004,All,20 and over,Non-Hispanic Black,Sodium,3193.7,109.7,2977.0,3410.5,,,,
2003-2004,All,20 and over,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2003-2004,All,20 and over,Mexican American,Sodium,3575.9,102.8,3372.8,3779.0,,,,
2003-2004,All,20-29,All,Sodium,3887.9,98.2,3693.8,4081.9,,,,
2003-2004,All,30-39,All,Sodium,3809.3,105.8,3600.2,4018.4,,,,
2003-2004,All,40-49,All,Sodium,3606.7,77.8,3453.1,3760.3,,,,
2003-2004,All,50-59,All,Sodium,3337.4,98.6,3142.7,3532.2,,,,
2003-2004,All,60-69,All,Sodium,3090.7,79.8,2933.0,3248.4,,,,
2003-2004,All,70 and over,All,Sodium,2663.3,54.3,2556.1,2770.5,,,,
2003-2004,Female,2-19,All,Sodium,3020.3,71.4,2879.2,3161.4,,,,
2003-2004,Female,2-5,All,Sodium,2631.1,83.2,2466.9,2795.4,,,,
2003-2004,Female,6-11,All,Sodium,3017.0,97.9,2823.7,3210.4,,,,
2003-2004,Female,12-19,All,Sodium,3020.3,71.4,2879.2,3161.4,,,,
2003-2004,Female,20 and over,All,Sodium,2911.2,38.1,2835.9,2986.5,,,,
2003-2004,Female,20-29,All,Sodium,3183.8,133.5,2920.1,3447.5,,,,
2003-2004,Female,30-39,All,Sodium,3143.2,74.2,2996.7,3289.7,,,,
2003-2004,Female,40-49,All,Sodium,2929.2,101.7,2728.3,3130.1,,,,
2003-2004,Female,50-59,All,Sodium,2793.3,119.8,2556.7,3029.9,,,,
2003-2004,Female,60-69,All,Sodium,2752.7,91.3,2572.3,2933.0,,,,
2003-2004,Female,70 and over,All,Sodium,2468.1,66.4,2337.0,2599.1,,,,
2003-2004,Male,2-19,All,Sodium,4059.1,151.1,3760.6,4357.6,,,,
2003-2004,Male,2-5,All,Sodium,2408.7,39.5,2330.7,2486.7,,,,
2003-2004,Male,6-11,All,Sodium,3313.0,59.2,3196.0,3430.0,,,,
2003-2004,Male,12-19,All,Sodium,4059.1,151.1,3760.6,4357.6,,,,
2003-2004,Male,20 and over,All,Sodium,4089.7,53.0,3985.0,4194.5,,,,
2003-2004,Male,20-29,All,Sodium,4560.3,166.9,4230.6,4890.1,,,,
2003-2004,Male,30-39,All,Sodium,4552.1,173.4,4209.5,4894.7,,,,
2003-2004,Male,40-49,All,Sodium,4312.9,83.5,4148.0,4477.7,,,,
2003-2004,Male,50-59,All,Sodium,3895.1,126.7,3644.8,4145.3,,,,
2003-2004,Male,60-69,All,Sodium,3477.5,112.7,3254.8,3700.1,,,,
2003-2004,Male,70 and over,All,Sodium,2929.1,86.1,2759.1,3099.2,,,,
2003-2004,All,2-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,2-19,Non-Hispanic White,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,2-19,Non-Hispanic Black,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,2-19,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
2003-2004,All,2-19,Hispanic,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
2003-2004,All,2-19,Mexican American,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,2-5,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,6-11,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,12-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,20 and over,Non-Hispanic White,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,20 and over,Non-Hispanic Black,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,20 and over,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
2003-2004,All,20 and over,Hispanic,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
2003-2004,All,20 and over,Mexican American,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,All,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,2-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,2-5,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,6-11,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,12-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Female,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,2-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,2-5,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,6-11,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,12-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2003-2004,Male,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2005-2006,All,2-19,All,Calcium,1025.1,31.9,1088.1,962.0,,,,
2005-2006,All,2-19,Non-Hispanic White,Calcium,1108.5,45.9,1199.2,1017.9,,,,
2005-2006,All,2-19,Non-Hispanic Black,Calcium,844.1,35.1,913.5,774.6,,,,
2005-2006,All,2-19,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,2-19,Mexican American,Calcium,986.2,27.3,1040.1,932.3,,,,
2005-2006,All,2-5,All,Calcium,904.2,24.5,855.7,952.7,,,,
2005-2006,All,6-11,All,Calcium,1012.3,28.4,956.2,1068.4,,,,
2005-2006,All,12-19,All,Calcium,1025.1,31.9,962.0,1088.1,,,,
2005-2006,All,20 and over,All,Calcium,960.9,19.6,999.7,922.2,,,,
2005-2006,All,20 and over,Non-Hispanic White,Calcium,1006.2,23.5,1052.7,959.7,,,,
2005-2006,All,20 and over,Non-Hispanic Black,Calcium,787.8,22.9,833.0,742.6,,,,
2005-2006,All,20 and over,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2005-2006,All,20 and over,Mexican American,Calcium,920.1,20.1,959.9,880.3,,,,
2005-2006,All,20-29,All,Calcium,1017.7,31.8,954.9,1080.4,,,,
2005-2006,All,30-39,All,Calcium,1064.3,33.1,999.0,1129.6,,,,
2005-2006,All,40-49,All,Calcium,1006.0,29.2,948.2,1063.8,,,,
2005-2006,All,50-59,All,Calcium,909.3,34.6,840.9,977.6,,,,
2005-2006,All,60-69,All,Calcium,866.7,34.0,799.5,933.9,,,,
2005-2006,All,70 and over,All,Calcium,805.5,24.6,757.0,854.1,,,,
2005-2006,Female,2-19,All,Calcium,848.8,40.5,928.8,768.8,,,,
2005-2006,Female,2-5,All,Calcium,853.1,34.1,785.7,920.4,,,,
2005-2006,Female,6-11,All,Calcium,946.0,50.2,846.8,1045.2,,,,
2005-2006,Female,12-19,All,Calcium,848.8,40.5,768.8,928.8,,,,
2005-2006,Female,20 and over,All,Calcium,857.8,22.1,901.5,814.1,,,,
2005-2006,Female,20-29,All,Calcium,933.4,49.4,835.8,1030.9,,,,
2005-2006,Female,30-39,All,Calcium,895.8,44.6,807.7,983.8,,,,
2005-2006,Female,40-49,All,Calcium,922.9,27.0,869.6,976.3,,,,
2005-2006,Female,50-59,All,Calcium,799.5,40.0,720.5,878.5,,,,
